序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3442,688456,有研粉材,52.36,0.75,0.39,27033.0,140783253.0,5.5,53.37,50.51,50.85,51.97,1.31,2.61,76.54,4.28,5427637600.0,5427637600.0,0.0,-0.21,-2.04,-32.61
3443,300225,*ST金泰,5.35,0.75,0.04,46185.0,24588349.0,2.82,5.39,5.24,5.3,5.31,0.49,0.97,108.37,2.95,2543548307.0,2541555432.0,0.19,0.19,19.96,-5.81
3444,002922,伊戈尔,37.68,0.75,0.28,140272.0,526264883.82,4.04,38.18,36.67,36.9,37.4,0.92,3.75,67.16,4.22,15946406752.0,14084998964.0,-0.03,0.05,16.44,23.46
3445,601375,中原证券,4.04,0.75,0.03,312270.0,125884807.0,2.24,4.06,3.97,3.99,4.01,0.73,0.91,36.12,1.31,18757254188.0,13927979588.0,0.0,0.25,-6.48,-6.05
3446,301591,肯特股份,41.45,0.75,0.31,18710.0,76490309.64,3.89,41.7,40.1,40.67,41.14,0.97,5.51,44.27,3.89,3486774000.0,1407174651.0,0.02,0.39,9.02,2.24
3447,300928,华安鑫创,29.59,0.75,0.22,10010.0,29466844.0,3.3,29.79,28.82,29.0,29.37,0.62,1.87,-30.42,2.16,2367200000.0,1585623884.0,0.0,0.2,-2.89,-5.01
3448,300414,中光防雷,13.58,0.74,0.1,54792.0,74254001.73,2.3,13.64,13.33,13.4,13.48,0.61,1.75,193.79,4.45,4427344348.0,4257718116.0,-0.07,0.0,-12.61,-9.16
3449,600106,重庆路桥,5.48,0.74,0.04,83599.0,45577755.0,2.39,5.49,5.36,5.39,5.44,0.51,0.63,27.52,1.41,7283057340.0,7283057340.0,0.0,0.18,-11.33,-12.46
3450,603331,百达精工,14.9,0.74,0.11,67521.0,99866166.0,4.53,14.97,14.3,14.3,14.79,0.7,3.34,37.82,2.27,3012416976.0,3012416976.0,0.07,0.13,21.63,4.56
3451,300135,宝利国际,4.07,0.74,0.03,316858.0,127183490.8,2.97,4.08,3.96,3.99,4.04,0.75,3.44,-277.74,3.97,3750912000.0,3750912000.0,0.25,0.25,6.27,3.04
3452,300177,中海达,8.16,0.74,0.06,80993.0,65365751.0,3.7,8.18,7.88,7.94,8.1,0.71,1.34,-99.06,4.02,6072419579.0,4947434528.0,-0.12,0.12,-15.44,-21.01
3453,688701,卓锦股份,9.59,0.74,0.07,26209.0,24983435.0,4.31,9.72,9.31,9.49,9.52,0.65,1.95,-22.45,9.05,1287719997.0,1287719997.0,0.84,0.74,7.39,17.67
3454,301022,海泰科,28.49,0.74,0.21,17959.0,51067519.03,3.82,28.76,27.68,28.03,28.28,0.47,2.67,36.21,2.0,2834302750.0,1914127374.0,0.0,-0.07,-8.04,-13.9
3455,920204,沪江材料,14.99,0.74,0.11,4114.0,6147116.22,1.88,15.08,14.8,14.8,14.88,0.44,0.82,67.73,2.87,1413374077.0,749361238.0,0.6,0.13,-18.04,-15.55
3456,603619,中曼石油,35.22,0.74,0.26,302575.0,1055879340.0,3.6,35.34,34.08,34.8,34.96,0.85,6.54,26.94,3.74,16283560596.0,16283560596.0,0.0,-0.06,58.22,52.8
3457,002705,新宝股份,14.88,0.74,0.11,511451.0,741444044.66,6.5,15.01,14.05,14.47,14.77,3.3,6.33,12.06,1.4,12080711606.0,12024578592.0,0.13,0.07,4.2,4.35
3458,002093,国脉科技,9.49,0.74,0.07,71997.0,68168026.0,3.08,9.54,9.25,9.29,9.42,0.48,0.71,36.59,2.49,9561175000.0,9561175000.0,0.0,0.0,-16.17,-17.48
3459,600609,金杯汽车,4.11,0.74,0.03,105708.0,43134666.0,2.7,4.11,4.0,4.04,4.08,0.61,0.81,22.3,3.4,5361735673.0,5361735673.0,0.24,0.0,-12.55,-11.23
3460,002507,涪陵榨菜,12.49,0.73,0.09,97140.0,121073978.51,1.61,12.51,12.31,12.31,12.4,0.61,0.85,18.77,1.65,14412448660.0,14329941955.0,0.0,0.0,-4.0,-1.73
3461,002429,兆驰股份,9.71,0.73,0.07,842046.0,808969166.11,5.08,9.82,9.33,9.33,9.64,0.62,1.86,32.96,2.68,43956593294.0,43931273605.0,-0.1,0.1,43.85,30.86
3462,601901,方正证券,6.92,0.73,0.05,349691.0,241037158.0,1.75,6.93,6.81,6.82,6.87,0.54,0.42,11.25,1.13,56966141653.0,56966141653.0,0.0,0.14,-10.36,-11.17
3463,002457,青龙管业,11.0,0.73,0.08,74012.0,81041279.0,2.47,11.02,10.75,10.8,10.92,0.55,2.22,53.95,1.48,3668354800.0,3666538139.0,0.0,0.0,2.52,0.64
3464,600834,申通地铁,8.27,0.73,0.06,32672.0,26737615.0,1.95,8.27,8.11,8.19,8.21,0.96,0.68,83.56,2.3,3947948354.0,3947948354.0,0.12,0.12,0.0,-2.25
